English,Slovenščina
Absolute zero,Absolutna ničla
Acceleration due to gravity,Težnostni pospešek
Acceleration,Pospešek
Acoustics,Akustika
Action,Akcija
Alloy,Zlitina
Alpha decay,Razpad alfa
Alpha particle,Delec alfa
Alternating current,Izmenjujoči tok
Amplifier,Ojačevalnik
Amplitude,Amplituda
Angle of incidence,Vpadni kot
Angle of reflection,Odbojni kot
Angle,Kot
Angular acceleration,Kotni pospešek
Angular displacement,Kotni premik
Angular frequency,Kotna frekvenca
Angular momentum,Vrtilna količina
Angular velocity,Kotna hitrost
Anode,Anoda
Arc length,Dolžina loka
Area charge density,Površinska gostota naboja
Area density,Površinska gostota
Area,Površina
Atom,Atom
Atomic mass,Atomska masa
Atomic number,Vrstno število
Attenuation coefficient,Absorpcijski koeficient
Axis,Os
Background radiation,Sevanje ozadja
Background,Ozadje
Bending,Upogib
Beta decay,Razpad beta
Beta particle,Delec beta
Binding energy,Vezavna energija
Black body,Črno telo
Black-body radiation,Sevanje črnega telesa
Block,Klado
Boiling point,Vrelišče
Bremsstrahlung,Zavorno sevanje
Brewster's angle,Brewstrov kot
Brittleness,Krhkost
Brownian motion,Brownovo gibanje
Bulk modulus,Stisljivostni modul
Buoyancy,Vzgon
Capacitance,Kapacitivnost
Capacitor,Kondenzator
Cardinality (of a set),Moč (množice)
Cathode,Katoda
Center of mass,Težišče
Centrifugal force,Centrifugalna sila
Centripetal force,Centripetalna sila
Charge carrier,Nosilec naboja
Chemical potential,Kemijski potencial
Circular motion,Krožno gibanje
Coefficient of kinetic friction,Koeficient trenja
Coefficient of static friction,Koeficient lepenja
Coherence,Koherenca
Compton scattering,Comptonovo sipanje
Concave lens,Konkavna leča
Condensed matter physics,Fizika kondenzirane snovi
Conservation law,Ohranitveni zakon
Conservation of momentum,Ohranitev gibalne količine
Constant of integration,Integracijska konstanta
Constructive interference,Konstruktivna interferenca
Continuous spectrum,Zvezni spekter
Continuum mechanics,Mehanika kontinuov
Convection,Konvekcija
Convex lens,Konveksna leča
Cooling,Hlajenje
Cross section,Presek
Curl,Rotor
Current density,Gostota toka
Curvature,Ukrivljenost
Curvilinear coordinate system,Krivočrtni koordinatni sistem
Damped motion,Dušeno gibanje
Damping ratio,Konstanta dušenja
Definite integral,Določeni integral
Deformation,Deformacija
Density,Gostota
Derivative,Odvod
Destructive interference,Destruktivna interferenca
Diamagnetism,Diamagnetizem
Diameter,Premer
Dielectric,Dielektrik
Difference,Razlika
Differential,Diferencial
Diffraction,Uklon
Dipole moment,Dipolni moment
Direct current,Enosmerni tok
Direction,Smer
Dispersion,Disperzija
Displacement,Premik
Distance,Razdalja
Divergence,Divergenca
Drag,Upor
Dynamic viscosity,Dinamična viskoznost
Dynamics,Dinamika
Eigenvalue,Lastna vrednost
Eigenvector,Lastni vektor
Eigenfunction,Lastna funkcija
Elastic collision,Prozni trk
Elastic energy,Prozna energija
Elastic modulus,Prožnostni modul
Elasticity,Prožnost
Electric charge density,Gostota električnega toka
Electric charge,Električni naboj
Electric circuit,Elektronsko vezja
Electric current,Električni tok
Electric displacement field,Gostota električnega polja
Electric field strength,Jakost električnega polja
Electric field,Električno polja
Electric potential,Električni potencial
Electric power,Električna moč
Electric susceptibility,Električna susceptibilnost
Electrical conductivity,Električna prevodnost
Electrical conductor,Električni prevodnik
Electrical insulator,Električni izolator
Electrical resistance,Upornost
Electrical resistivity,Specifična upornost
Electricity,Elektrika
Electromagnetic field,Elektromagnetno polje
Electromagnetic induction,Elektromagnetna indukcija
Electromagnetic radiation,Elektromagnetno sevanje
Electromagnetic spectrum,Elektromagnetni spekter
Electromagnetic waves,Elektromagnetno valovanje
Electromagnetism,Elektromagnetizem
Electron,Elektron
Electronegativity,Elektronegativnost
Electronics,Elektronika
Electrostatics,Elektrostatika
Elementary charge,Osnovni naboj
Elementary particle,Osnovni delec
Emission,Emisija
Empty set,Prazna množica
Energy density,Gostota energije
Energy level,Energijski nivo
Energy,Energija
Enthalpy,Entalpija
Entropy,Entropija
Equilibrium,ravnovesje
Equipartition principle,Ekviparticijski izrek
Excited state,Vzbujeno stanje
Ferromagnetism,Feromagnetizem
Field line,Silnica
Fine-structure constant,Konstanta fine strukture
Fission,Cepitev
Flavor,Okus
Fluid mechanics,Mehanika tekočin
Fluid,Tekočina
Flux density,Gostota pretoka
Flux,Pretok
Focus,Fokus
Force,Sila
Frame of reference,Opazovalni sistem
Free fall,Prosti pad
Frequency,Frekvenca
Friction,Trenje
Function,Funkcija
Fundamental forces,Osnovne sile
Fundamental frequency,Osnovna frekvenca
Fusion,Zlivanje
Gamma ray,Žarek gama
Gas constant,Plinska konstanta
Gas,Plin
General theory of relativity,Splošna teorija relativnosti
Gradient,Gradient
Gravitation,Gravitacija
Gravitational constant,Gravitacijska konstanta
Gravitational energy,Gravitacijska energija
Gravitational field,Gravitacijsko polje
Gravitational potential,Gravitacijski potencial
Gravity,Težnost
Ground state,Osnovno stanje
Group velocity,Skupinska hitrost
Half-life,Razpolovni čas
Heat capacity,Toplotna kapaciteta
Heat current density,Gostota toplotnega toka
Heat,Toplota
Heating,Segrevanje
Height,Višina
Helmholtz free energy,Prosta energija
Humidity,Vlažnost
Hydrostatics,Hidrostatika
Impedance,Impedanca
Indefinite integral,Nedoločen integral
Inductance,Induktivnost
Inertia,Inercija
Integral,Integral
Intensity,Intenziteta
Internal energy,Notranja energija
Ion,Ion
Ionization,Ionizacija
Ionizing radiation,Ionizirajoče sevanje
Isotope,Izotop
Kinematic viscosity,Kinematična viskoznost
Kinematics,Kinematika
Kinetic energy,Kinetična energija
Laminar flow,Laminarni pretok
Length,Dolžina
Lever,Vzvod
Light,Luč
Limits of integration,Integracijske meje
Linear charge density,Linearna gostota naboja
Linear density,Linearna gostota
Liquid,Tekočina
Magnetic dipole moment,Magnetni dipolni moment
Magnetic field strength,Jakost magnetnega polja
Magnetic field,Magnetno polje
Magnetic flux density,Gostota magnetnega pretoka
Magnetic flux,Magnetni pretok
Magnetic moment,Magnetni moment
Magnetization,Magnetizacija
Magnetostatics,Magnetostatika
Mass density,Gostota mase
Mass flux,Masni pretok
Mass number,Masno število
Mass,Masa
Matrix,Matrika
Matter,Snov
Mean,Povprečje
Mechanical equilibrium,Mehansko ravnovesje
Mechanical work,Mehansko delo
Mechanics,Mehanika
Medium,Sredstvo
Melting point,Tališče
Melting,Taljenje
Modulus of elasticity,Prožnostni modul
Molar mass,Molarna masa
Molecule,Molekula
Moment of inertia,Vztrajnostni moment
Momentum,Gibalna količina
Motion,Gibanje
Neutron,Nevtron
Normal force,Sila normale
Normal vector,Vector normale
Nuclear physics,Jedrska fizika
Nuclear reaction,Jedrska reakcija
Nucleus,Jedro
Optics,Optika
Packing factor,Polnitveno razmerje
Parallel circuit,Vzporedno vezje
Parity,Parnost
Partial derivative,Parcialni odvod
Particle accelerator,Pospeševalnik
Particle physics,Fizika osnovnih delcev
Particle,Delec
Pauli exclusion principle,Paulijevo izključitveno načelo
Pendulum,Nihalo
Period,Nihajni čas
Permeability,Permeabilnost
